ID,대분류,상호명,도로명주소,좌표X,좌표Y,위도,경도,카테고리,원본카테고리,대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,영업시간,휴무일
1,문화_공연장,클리프홀,"제주특별자치도 제주시 한림읍 한림로 247, 2층",128596.741770023,-11705.9862223577,33.3885078,126.2333989,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,10:00~24:00,수요일
2,문화_공연장,호은아트홀,"제주특별자치도 제주시 월평9길 2-19, 2층 (월평동)",161003.170382611,-2582.67037546159,33.4724287,126.5812865,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~18:00,
3,문화_공연장,오페라인제주 스튜디오,제주특별자치도 제주시 애월읍 무수천길 5-5,148495.073990808,-3814.24537851783,33.4607963,126.446798,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~19:00,
4,문화_공연장,공존 예술창작 스튜디오,"제주특별자치도 제주시 남광북5길 6, 지하1층 (이도이동)",156845.430786298,-276.668932758762,33.4930593,126.536447,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,00:00~24:00,
5,문화_공연장,이디홀,"제주특별자치도 제주시 도공로 54, 도두1동 청소년문화센터 지하1층 (도두일동)",150302.98170634,733.37534200395,33.5018814,126.4659922,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,공연·행사일정별,
6,문화_공연장,채플린 소극장,"제주특별자치도 제주시 중앙로 491, 지하층 (아라이동)",157556.000725876,-1806.8495191909,33.4792921,126.5441655,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~17:00,일요일
7,문화_공연장,아트락 소극장,제주특별자치도 제주시 연신로 156 (영평동),158374.299977413,-764.801201481699,33.4887191,126.552921,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~22:00,
8,문화_공연장,스카이워터쇼,제주특별자치도 제주시 구좌읍 번영로 2172-80 (제주아트랜드),176227.42249951,-7887.01584200359,33.4250516,126.7452101,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,공연 1일 3회 09:30·11:00·14:30,
9,문화_공연장,제주난타극장,제주특별자치도 제주시 선돌목동길 56-26 (오등동),157858.570077978,-5539.15779446767,33.4456544,126.5475961,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,매일 16:30 공연(13:30·20:00 유동),
10,문화_공연장,오백장군갤러리 공연장,"제주특별자치도 제주시 조천읍 남조로 2023, 제주특별자치도돌문화공원관리소 1층",168943.875998383,-6503.38887428093,33.4373399,126.6668482,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~18:00,월요일
11,문화_공연장,세이레아트센터,"제주특별자치도 제주시 서광로 182-6, 지하층 (삼도일동, 원앙빌딩)",154952.633643405,391.895797743821,33.4990088,126.5160462,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~22:30,
12,문화_공연장,제주폴리아트센터,제주특별자치도 제주시 애월읍 산록서로 18,141777.47481573,-11975.8642516578,33.3868703,126.3750709,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:30~17:30,
13,문화_공연장,제주관광대학 컨벤션홀,제주특별자치도 제주시 애월읍 평화로 2715 (제주관광대학 컨벤션홀),147336.714653566,-5157.89475124236,33.4486261,126.4344172,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~18:00,
14,문화_공연장,제주아트센터,제주특별자치도 제주시 오남로 231 (오라이동),154868.584475232,-2262.14230353997,33.4750773,126.5152754,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,공연·행사일정별,
15,문화_공연장,설문대여성문화센터공연장,제주특별자치도 제주시 선덕로8길 12  (연동),153499.515511003,-1220.98352953974,33.4844054,126.5004928,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~18:00,1월1일·설·추석
16,문화_공연장,한라아트홀 대극장,"제주특별자치도 제주시 한라대학로 38 (노형동,외 36필지(한라대학로38))",151094.654720674,-1988.89509274844,33.4773749,126.4746603,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,10:00~19:30,연중무휴
17,문화_공연장,Be IN;(비인),제주특별자치도 제주시 신산로 82 (일도이동),156616.514375637,1203.91013728724,33.5063985,126.5339121,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~22:00,
18,문화_공연장,제주해변공연장,제주특별자치도 제주시 중앙로 2 (삼도이동),155721.051225061,2482.9984096511,33.5178936,126.5242118,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,08:00~22:00,연중무휴
19,문화_공연장,제주특별자치도문예회관대극장,"제주특별자치도 제주시 동광로 69 (일도이동,(동광로89))",156734.277555173,990.329831017482,33.5044777,126.5351898,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,공연·행사일정별,
20,문화_공연장,제주특별자치도 문예회관 소극장,"제주특별자치도 제주시 동광로 69 (일도이동,(동광로89))",156734.277555173,990.329831017482,33.5044777,126.5351898,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,공연·행사일정별,
21,문화_공연장,한라,제주특별자치도 제주시 명림로 575-107 (회천동),166285.365458268,-5257.14441273754,33.4484955,126.6382126,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,24시간,
22,문화_공연장,노형수퍼마켙,제주특별자치도 제주시 노형로 89 (해안동),149275.142119452,-3370.04053529825,33.4648383,126.4551635,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,입장마감 18:00,연중무휴
23,문화_공연장,더마파크 공연장,제주특별자치도 제주시 한림읍 월림7길 155,129374.71706584,-15493.603917681,33.3544124,126.2420564,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,09:00~17:45,
24,문화_공연장,제주대학교 아라뮤즈홀,제주특별자치도 제주시 제주대학로 102 (아라일동),159225.936437733,-4535.17095331687,33.4547591,126.562256,공연장,공연장,VE,문화관광,VE06,공연시설,VE060100,공연장,공연·행사일정별,
